,CAMIS,DBA,loc,goog_lat,goog_lng
57,41616073,GRUENEBAUM'S BAKERY & CAFE,"5663 RIVERDALE AVENUE, BRONX, 10471",40.9062181,-73.9051346
58,41602131,FLUSHING HOUSE RESIDENCE FOR ADULTS (SENIOR HOME),"3820 BOWNE STREET, QUEENS, 11354",40.761853,-73.825153
59,41586172,UMI SUSHI HIBACHI,"939 RICHMOND AVENUE, STATEN ISLAND, 10314",40.6243659,-74.1481845
60,41572498,YANKEE BAR & GRILL/MONUMENTAL EMPANADAS,"844 RIVER AVENUE, BRONX, 10451",40.8271363,-73.9259928
61,41557641,LITTLE CHINA CITY,"371 EAST FORDHAM ROAD, BRONX, 10458",40.8620651,-73.8922473
62,41541928,JEFFREY'S GROCERY RESTAURANT & OYSTER BAR,"172 WAVERLY PLACE, MANHATTAN, 10014",40.73404,-74.0012917
63,41521807,SARGE'S,"548 3 AVENUE, MANHATTAN, 10016",40.7472613,-73.9770328
64,41499185,BURGER & BARREL,"25 WEST HOUSTON STREET, MANHATTAN, 10012",40.725716,-73.998069
65,41479922,KENNEDY FRIED CHICKEN,"495 EAST  138 STREET, BRONX, 10454",40.8077856,-73.9197513
66,41464967,OAXACA MEXICAN GRILL,"245 PARK AVENUE, MANHATTAN, 10003",40.7545475,-73.9745088
67,41450361,FREDA'S,"993 COLUMBUS AVENUE, MANHATTAN, 10025",40.8009069,-73.9613127
68,41429354,HAAGEN DAZS,"573 GRAND CONCOURSE, BRONX, 10451",40.8192204,-73.9270768
69,41410205,LOCANDA VERDE,"377 GREENWICH STREET, MANHATTAN, 10013",40.7198459,-74.009854
70,41395427,STAND 421,"126 ROOSEVELT AVENUE, QUEENS, 11368",40.7529994,-73.8509841
71,41382110,CAFFEINA ESPRESSO BAR,"4402 23 STREET, QUEENS, 11101",40.7487574,-73.9447311
72,41363384,SUNLIGHT RESTAURANT,"553 WALTON AVENUE, BRONX, 10451",40.8190186,-73.9284026
73,41340437,ROMA BAR & GRILL,"2001 STILLWELL AVENUE, BROOKLYN, 11223",40.5977919,-73.9854664
74,41317177,SOCCER TAVERN,"6004 8 AVENUE, BROOKLYN, 11220",40.6353314,-74.0097251
75,41299007,JIVAMUKTEA CAFE,"841 BROADWAY, MANHATTAN, 10012",40.7343136,-73.9911839
76,41273759,SUBWAY,"8421 5 AVENUE, BROOKLYN, 11209",40.6222317,-74.025622
77,41250834,IL NOCELLO RISTORANTE ITALIANO,"1427 150 STREET, QUEENS, 11357",40.7880986,-73.8132761
78,41231005,MAZZAT,"208 COLUMBIA STREET, BROOKLYN, 11231",40.6650456,-74.0125205
79,41201799,CHIPOTLE MEXICAN GRILL,"1221 6 AVENUE, MANHATTAN, 10020",40.7594099,-73.98222
80,41169949,DOMINO'S,"592 COLUMBUS AVENUE, MANHATTAN, 10024",40.7882418,-73.9708992
81,41143058,THE ROOSEVELT HOTEL,"45 EAST   45 STREET, MANHATTAN, 10017",40.7547501,-73.9774787
82,41104041,THE SPARROW TAVERN,"2401 29 STREET, QUEENS, 11102",40.7727726,-73.9164116
83,41067778,SALA ONE NINE,"35 WEST   19 STREET, MANHATTAN, 10011",40.740037,-73.993084
84,41023695,MCDONALD'S,"11905 LIBERTY AVENUE, QUEENS, 11419",40.686568,-73.82399
85,40993542,CAFE 28,"245 5 AVENUE, MANHATTAN, 10016",40.7444051,-73.9871555
86,40948362,FRANCHIA,"12 PARK AVENUE, MANHATTAN, 10016",40.7476039,-73.9813711
87,40909425,PUEBLA SEAFOOD,"9527 ROOSEVELT AVENUE, QUEENS, 11372",40.7490242,-73.8707568
88,40859127,GOODY'S SPANISH FOOD,"201 PORT RICHMOND AVENUE, STATEN ISLAND, 10302",40.6363219,-74.1345844
89,40798514,CRYSTAL PALACE,"13831 QUEENS BOULEVARD, QUEENS, 11435",40.7081579,-73.8177981
90,40736135,STARBUCKS,"200 MADISON AVENUE, MANHATTAN, 10016",40.7489466,-73.9826768
91,40684161,MADIBA,"195 DEKALB AVENUE, BROOKLYN, 11205",40.6895764,-73.9717985
92,40609087,STRAUSS BAKERY,"5115 13 AVENUE, BROOKLYN, 11219",40.6335233,-73.9936788
93,40569838,GLEN ROY BAR AND GRILL,"145 EAST  149 STREET, BRONX, 10451",40.8187847,-73.9279781
94,40524833,STARBUCKS,"1280 LEXINGTON AVENUE, MANHATTAN, 10028",40.7798872,-73.9557037
95,40401223,J AND L DELI,"682 5 AVENUE, BROOKLYN, 11215",40.661792,-73.993325
96,40394962,RUSSO'S ON THE BAY,"16245 CROSS BAY BOULEVARD, QUEENS, 11414",40.6528118,-73.8380032
97,40386340,NILES RESTAURANT,"371 7 AVENUE, MANHATTAN, 10001",40.7487243,-73.9916396
98,40369958,SPARKS STEAK HOUSE,"210 EAST   46 STREET, MANHATTAN, 10017",40.7528832,-73.9720906
99,41271202,ESPRESSO 77,"3557 77 STREET, QUEENS, 11372",40.7496218,-73.888885
